school_name,division,city_state,type,conference,athletics_domain,status
Midway University,NAIA,"Midway,Kentucky",Private,River States Conference,gomidwayeagles.com,FOUND
Milligan University,NAIA,"Milligan University,Tennessee",Private,Appalachian Athletic Conference,milliganbuffs.com,FOUND
Missouri Baptist University,NAIA,"Saint Louis,Missouri",Private,American Midwest Conference,sbubearcats.com,FOUND
Missouri Valley College,NAIA,"Marshall,Missouri",Private,Heart of America Athletic Conference,valleywillroll.com,FOUND
Montana State University – Northern,NAIA,"Havre,Montana",Public,Frontier Conference,msubobcats.com,FOUND
Montana Tech of the University of Montana,NAIA,"Butte,Montana",Public,Frontier Conference,godiggers.com,FOUND
Montreat College,NAIA,"Montreat,North Carolina",Private,Appalachian Athletic Conference,montreatcavaliers.com,FOUND
Morningside University,NAIA,"Sioux City,Iowa",Private,Great Plains Athletic Conference,morningside.edu,FOUND
Morris College,NAIA,"Sumter,South Carolina",Private,Continental Athletic Conference,morris.edu,FOUND
Mount Marty University,NAIA,"Yankton,South Dakota",Private,Great Plains Athletic Conference,mountmartyathletics.com,FOUND
Mount Mercy University,NAIA,"Cedar Rapids,Iowa",Private,Heart of America Athletic Conference,mountmercymustangs.com,FOUND
Mount Vernon Nazarene University,NAIA,"Mount Vernon,Ohio",Private,Crossroads League,mvnucougars.com,FOUND
Multnomah Campus of Jessup University,NAIA,"Portland,Oregon",Private,Cascade Collegiate Conference,multnomah.edu,FOUND
Nelson University,NAIA,"Waxahachie,Texas",Private,Sooner Athletic Conference,nelsonlions.com,FOUND
New College of Florida,NAIA,"Sarasota,Florida",Public,Sun Conference,gomightybanyans.com,FOUND
Northwest University,NAIA,"Kirkland,Washington",Private,Cascade Collegiate Conference,nusports.com,FOUND
Northwestern College – Iowa,NAIA,"Orange City,Iowa",Private,Great Plains Athletic Conference,nwcraiders.com,FOUND
Oakland City University,NAIA,"Oakland City,Indiana",Private,River States Conference,gomightyoaks.com,FOUND
Ohio Christian University,NAIA,"Circleville,Ohio",Private,River States Conference,ocutrailblazers.com,FOUND
Oklahoma City University,NAIA,"Oklahoma City,Oklahoma",Private,Sooner Athletic Conference,ocusports.com,FOUND
Oklahoma Panhandle State University,NAIA,"Goodwell,Oklahoma",Public,Sooner Athletic Conference,opsuaggies.com,FOUND
Oklahoma Wesleyan University,NAIA,"Bartlesville,Oklahoma",Private,Kansas Collegiate Athletic Conference,okwueagles.com,FOUND
